County, Population
"Phillips","4,442"
"Pitkin","17,148"
"Prowers","12,551"
"Pueblo","159,063"
"Rio","6,666"
"Rio","11,982"
"Routt","23,509"
"Saguache","6,108"
"San","699"
"San","7,359"
"Sedgwick","2,379"
"Summit","27,994"
"Teller","23,350"
"Washington","4,814"
"Weld","252,825"
"Yuma","10,043"
"Fairfield","916,829"
"Hartford","894,014"
"Litchfield","189,927"
"Middlesex","165,676"
"New","862,477"
"New","274,055"
"Tolland","152,691"
"Windham","118,428"
"Kent","162,310"
"New","538,479"
"Sussex","197,145"
"District","601,723"
"Alachua","247,336"
"Baker","27,115"
"Bay","168,852"
"Bradford","28,520"
"Brevard","543,376"
"Broward","1,748,066"
"Calhoun","14,625"
"Charlotte","159,978"
"Citrus","141,236"
"Clay","190,865"
"Collier","321,520"
"Columbia","67,531"
"DeSoto","34,862"
"Dixie","16,422"
"Duval","864,263"
"Escambia","297,619"
"Flagler","95,696"
"Franklin","11,549"
"Gadsden","46,389"
"Gilchrist","16,939"
"Glades","12,884"
"Gulf","15,863"
"Hamilton","14,799"
"Hardee","27,731"
"Hendry","39,140"
"Hernando","172,778"
"Highlands","98,786"
"Hillsborough","1,229,226"
"Holmes","19,927"
"Indian","138,028"
"Jackson","49,746"
"Jefferson","14,761"
"Lafayette","8,870"
"Lake","297,052"
"Lee","618,754"
"Leon","275,487"
"Levy","40,801"
"Liberty","8,365"
"Madison","19,224"
"Manatee","322,833"
"Marion","331,298"
"Martin","146,318"
"Miami-Dade","2,496,435"
"Monroe","73,090"
"Nassau","73,314"
"Okaloosa","180,822"
"Okeechobee","39,996"
"Orange","1,145,956"
"Osceola","268,685"
"Palm","1,320,134"
"Pasco","464,697"
"Pinellas","916,542"
"Polk","602,095"
"Putnam","74,364"
"St","190,039"
"St","277,789"
"Santa","151,372"
"Sarasota","379,448"
"Seminole","422,718"
"Sumter","93,420"
"Suwannee","41,551"
"Taylor","22,570"
"Union","15,535"
"Volusia","494,593"
"Wakulla","30,776"
"Walton","55,043"
"Washington","24,896"
"Appling","18,236"
"Atkinson","8,375"
"Bacon","11,096"
"Baker","3,451"
"Baldwin","45,720"
"Banks","18,395"
"Barrow","69,367"
"Bartow","100,157"
"Ben","17,634"
"Berrien","19,286"
"Bibb","155,547"
"Bleckley","13,063"
"Brantley","18,411"
"Brooks","16,243"
"Bryan","30,233"
"Bulloch","70,217"
"Burke","23,316"
"Butts","23,655"
"Calhoun","6,694"
"Camden","50,513"
"Candler","10,998"
"Carroll","110,527"
"Catoosa","63,942"
"Charlton","12,171"
"Chatham","265,128"
"Chattahoochee","11,267"
"Chattooga","26,015"
"Cherokee","214,346"
"Clarke","116,714"
"Clay","3,183"
"Clayton","259,424"
"Clinch","6,798"
"Cobb","688,078"
"Coffee","42,356"
"Colquitt","45,498"
"Columbia","124,053"
"Cook","17,212"
"Coweta","127,317"
"Crawford","12,630"
"Crisp","23,439"
"Dade","16,633"
"Dawson","22,330"
"Decatur","27,842"
"DeKalb","691,893"
"Dodge","21,796"
"Dooly","14,918"
"Dougherty","94,565"
"Douglas","132,403"
"Early","11,008"
"Echols","4,034"
"Effingham","52,250"
"Elbert","20,166"
"Emanuel","22,598"
"Evans","11,000"
"Fannin","23,682"
"Fayette","106,567"
"Floyd","96,317"
"Forsyth","175,511"
"Franklin","22,084"
"Fulton","920,581"
"Gilmer","28,292"
"Glascock","3,082"
"Glynn","79,626"
"Gordon","55,186"
"Grady","25,011"
"Greene","15,994"
"Gwinnett","805,321"
"Habersham","43,041"
"Hall","179,684"
"Hancock","9,429"
"Haralson","28,780"
"Harris","32,024"
"Hart","25,213"
"Heard","11,834"
"Henry","203,922"
"Houston","139,900"
"Irwin","9,538"
"Jackson","60,485"
"Jasper","13,900"
"Jeff","15,068"
"Jefferson","16,930"
"Jenkins","8,340"
"Johnson","9,980"
"Jones","28,669"
"Lamar","18,317"
"Lanier","10,078"
"Laurens","48,434"
"Lee","28,298"
"Liberty","63,453"
"Lincoln","7,996"
"Long","14,464"
"Lowndes","109,233"
"Lumpkin","29,966"
"McDuffie","21,875"
"McIntosh","14,333"
"Macon","14,740"
"Madison","28,120"
"Marion","8,742"
"Meriwether","21,992"
"Miller","6,125"
"Mitchell","23,498"
"Monroe","26,424"
"Montgomery","9,123"
"Morgan","17,868"
"Murray","39,628"
"Muscogee","189,885"
"Newton","99,958"
"Oconee","32,808"
"Oglethorpe","14,899"
"Paulding","142,324"
"Peach","27,695"
"Pickens","29,431"
"Pierce","18,758"
"Pike","17,869"
"Polk","41,475"
"Pulaski","12,010"
"Putnam","21,218"
"Quitman","2,513"
"Rabun","16,276"
"Randolph","7,719"
"Richmond","200,549"
"Rockdale","85,215"
"Schley","5,010"
"Screven","14,593"
"Seminole","8,729"
"Spalding","64,073"
"Stephens","26,175"
"Stewart","6,058"
"Sumter","32,819"
"Talbot","6,865"
"Taliaferro","1,717"
"Tattnall","25,520"
"Taylor","8,906"
"Telfair","16,500"
"Terrell","9,315"
"Thomas","44,720"
"Tift","40,118"
"Toombs","27,223"
"Towns","10,471"
"Treutlen","6,885"
"Troup","67,044"
"Turner","8,930"
"Twiggs","9,023"
"Union","21,356"
"Upson","27,153"
"Walker","68,756"
"Walton","83,768"
"Ware","36,312"
"Warren","5,834"
"Washington","21,187"
"Wayne","30,099"
"Webster","2,799"
"Wheeler","7,421"
"White","27,144"
"Whitfield","102,599"
"Wilcox","9,255"
"Wilkes","10,593"
"Wilkinson","9,563"
"Worth","21,679"
"Hawaii","185,079"
"Honolulu","953,207"
"Kalawao","90"
"Kauai","67,091"
"Maui","154,834"
"Ada","392,365"
"Adams","3,976"
"Bannock","82,839"
"Bear","5,986"
"Benewah","9,285"
"Bingham","45,607"
"Blaine","21,376"
"Boise","7,028"
"Bonner","40,877"
"Bonneville","104,234"
"Boundary","10,972"
"Butte","2,891"
"Camas","1,117"
"Canyon","188,923"
"Caribou","6,963"
"Cassia","22,952"
"Clark","982"
"Clearwater","8,761"
"Custer","4,368"
"Elmore","27,038"
"Franklin","12,786"
"Fremont","13,242"
"Gem","16,719"
"Gooding","15,464"
"Idaho","16,267"
"Jefferson","26,140"
"Jerome","22,374"
"Kootenai","138,494"
"Latah","37,244"
"Lemhi","7,936"
"Lewis","3,821"
"Lincoln","5,208"
"Madison","37,536"
"Minidoka","20,069"
"Nez","39,265"
"Oneida","4,286"
"Owyhee","11,526"
"Payette","22,623"
"Power","7,817"
"Shoshone","12,765"
"Teton","10,170"
"Twin","77,230"
"Valley","9,862"
"Washington","10,198"
"Adams","67,103"
"Alexander","8,238"
"Bond","17,768"
"Boone","54,165"
"Brown","6,937"
"Bureau","34,978"
"Calhoun","5,089"
"Carroll","15,387"
"Cass","13,642"
"Champaign","201,081"
"Christian","34,800"
"Clark","16,335"
"Clay","13,815"
"Clinton","37,762"
"Coles","53,873"
"Cook","5,194,675"
"Crawford","19,817"
"Cumberland","11,048"
"DeKalb","105,160"
"De","16,561"
"Douglas","19,980"
"DuPage","916,924"
"Edgar","18,576"
"Edwards","6,721"
"Effingham","34,242"
"Fayette","22,140"
"Ford","14,081"
"Franklin","39,561"
"Fulton","37,069"
"Gallatin","5,589"
"Greene","13,886"
"Grundy","50,063"
"Hamilton","8,457"
"Hancock","19,104"
"Hardin","4,320"
"Henderson","7,331"
"Henry","50,486"
"Iroquois","29,718"
"Jackson","60,218"
"Jasper","9,698"
"Jefferson","38,827"
"Jersey","22,985"
"Jo","22,678"
"Johnson","12,582"
"Kane","515,269"
"Kankakee","113,449"
"Kendall","114,736"
"Knox","52,919"
"Lake","703,462"
"LaSalle","113,924"
"Lawrence","16,833"
"Lee","36,031"
"Livingston","38,950"
"Logan","30,305"
"McDonough","32,612"
"McHenry","308,760"
"McLean","169,572"
"Macon","110,768"
"Macoupin","47,765"
"Madison","269,282"
"Marion","39,437"
"Marshall","12,640"
"Mason","14,666"
"Massac","15,429"
"Menard","12,705"
"Mercer","16,434"
"Monroe","32,957"
"Montgomery","30,104"
"Morgan","35,547"
"Moultrie","14,846"
"Ogle","53,497"
"Peoria","186,494"
"Perry","22,350"
"Piatt","16,729"
"Pike","16,430"
"Pope","4,470"
"Pulaski","6,161"
"Putnam","6,006"
"Randolph","33,476"
"Richland","16,233"
"Rock","147,546"
"St","270,056"
"Saline","24,913"
"Sangamon","197,465"
"Schuyler","7,544"
"Scott","5,355"
"Shelby","22,363"
"Stark","5,994"
"Stephenson","47,711"
"Tazewell","135,394"
"Union","17,808"
"Vermilion","81,625"
"Wabash","11,947"
"Warren","17,707"
"Washington","14,716"
"Wayne","16,760"
"White","14,665"
"Whiteside","58,498"
"Will","677,560"
"Williamson","66,357"
"Winnebago","295,266"
"Woodford","38,664"
"Adams","34,387"
"Allen","355,329"
"Bartholomew","76,794"
"Benton","8,854"
"Blackford","12,766"
"Boone","56,640"
"Brown","15,242"
"Carroll","20,155"
"Cass","38,966"
"Clark","110,232"
"Clay","26,890"
"Clinton","33,224"
"Crawford","10,713"
"Daviess","31,648"
"Dearborn","50,047"
"Decatur","25,740"
"DeKalb","42,223"
"Delaware","117,671"
"Dubois","41,889"
"Elkhart","197,559"
"Fayette","24,277"
"Floyd","74,578"
"Fountain","17,240"
"Franklin","23,087"
"Fulton","20,836"
"Gibson","33,503"
"Grant","70,061"
"Greene","33,165"
"Hamilton","274,569"
"Hancock","70,002"
"Harrison","39,364"
"Hendricks","145,448"
"Henry","49,462"
"Howard","82,752"
"Huntington","37,124"
"Jackson","42,376"
"Jasper","33,478"
"Jay","21,253"
"Jefferson","32,428"
"Jennings","28,525"
"Johnson","139,654"
"Knox","38,440"
"Kosciusko","77,358"
"LaGrange","37,128"
"Lake","496,005"
"LaPorte","111,467"
"Lawrence","46,134"
"Madison","131,636"
"Marion","903,393"
"Marshall","47,051"
"Martin","10,334"
"Miami","36,903"
"Monroe","137,974"
"Montgomery","38,124"
"Morgan","68,894"
"Newton","14,244"
"Noble","47,536"
"Ohio","6,128"
"Orange","19,840"
"Owen","21,575"
"Parke","17,339"
"Perry","19,338"
"Pike","12,845"
"Porter","164,343"
"Posey","25,910"
"Pulaski","13,402"
"Putnam","37,963"
"Randolph","26,171"
"Ripley","28,818"
"Rush","17,392"
"St","266,931"
"Scott","24,181"
"Shelby","44,436"
"Spencer","20,952"
"Starke","23,363"
"Steuben","34,185"
"Sullivan","21,475"
"Switzerland","10,613"
"Tippecanoe","172,780"
"Tipton","15,936"
"Union","7,516"
"Vanderburgh","179,703"
"Vermillion","16,212"
"Vigo","107,848"
"Wabash","32,888"
"Warren","8,508"
"Warrick","59,689"
"Washington","28,262"
"Wayne","68,917"
"Wells","27,636"
"White","24,643"
"Whitley","33,292"
"Adair","7,682"
"Adams","4,029"
"Allamakee","14,330"
"Appanoose","12,887"
"Audubon","6,119"
"Benton","26,076"
"Black","131,090"
"Boone","26,306"
"Bremer","24,276"
"Buchanan","20,958"
"Buena","20,260"
"Butler","14,867"
"Calhoun","9,670"
"Carroll","20,816"
"Cass","13,956"
"Cedar","18,499"
"Cerro","44,151"
"Cherokee","12,072"
"Chickasaw","12,439"
"Clarke","9,286"
"Clay","16,667"
"Clayton","18,129"
"Clinton","49,116"
"Crawford","17,096"
"Dallas","66,135"
"Davis","8,753"
"Decatur","8,457"
"Delaware","17,764"
"Des","40,325"
"Dickinson","16,667"
"Dubuque","93,653"
"Emmet","10,302"
"Fayette","20,880"
"Floyd","16,303"
"Franklin","10,680"
"Fremont","7,441"
"Greene","9,336"
"Grundy","12,453"
"Guthrie","10,954"
"Hamilton","15,673"
"Hancock","11,341"
"Hardin","17,534"
"Harrison","14,928"
"Henry","20,145"
"Howard","9,566"
"Humboldt","9,815"
"Ida","7,089"
"Iowa","16,355"
"Jackson","19,848"
"Jasper","36,842"
"Jefferson","16,843"
"Johnson","130,882"
"Jones","20,638"
"Keokuk","10,511"
"Kossuth","15,543"
"Lee","35,862"
"Linn","211,226"
"Louisa","11,387"
"Lucas","8,898"
"Lyon","11,581"
"Madison","15,679"
"Mahaska","22,381"
"Marion","33,309"
"Marshall","40,648"
"Mills","15,059"
"Mitchell","10,776"
"Monona","9,243"
"Monroe","7,970"
"Montgomery","10,740"
"Muscatine","42,745"
"O'Brien","14,398"
"Osceola","6,462"
"Page","15,932"
"Palo","9,421"
"Plymouth","24,986"
"Pocahontas","7,310"
"Polk","430,640"
"Pottawattamie","93,158"
"Poweshiek","18,914"
"Ringgold","5,131"
"Sac","10,350"
"Scott","165,224"
"Shelby","12,167"
"Sioux","33,704"
"Story","89,542"
"Tama","17,767"
"Taylor","6,317"
"Union","12,534"
"Van","7,570"
"Wapello","35,625"
"Warren","46,225"
"Washington","21,704"
"Wayne","6,403"
"Webster","38,013"
"Winnebago","10,866"
"Winneshiek","21,056"
"Woodbury","102,172"
"Worth","7,598"
"Wright","13,229"
"Allen","13,371"
"Anderson","8,102"
"Atchison","16,924"
"Barber","4,861"
"Barton","27,674"
"Bourbon","15,173"
"Brown","9,984"
"Butler","65,880"
"Chase","2,790"
"Chautauqua","3,669"
"Cherokee","21,603"
"Cheyenne","2,726"
"Clark","2,215"
"Clay","8,535"
"Cloud","9,533"
"Coffey","8,601"
"Comanche","1,891"
"Cowley","36,311"
"Crawford","39,134"
"Decatur","2,961"
"Dickinson","19,754"
"Doniphan","7,945"
"Douglas","110,826"
"Edwards","3,037"
"Elk","2,882"
"Ellis","28,452"
"Ellsworth","6,497"
"Finney","36,776"
"Ford","33,848"
"Franklin","25,992"
"Geary","34,362"
"Gove","2,695"
"Graham","2,597"
"Grant","7,829"
"Gray","6,006"
"Greeley","1,247"
"Greenwood","6,689"
"Hamilton","2,690"
"Harper","6,034"
"Harvey","34,684"
"Haskell","4,256"
"Hodgeman","1,916"
"Jackson","13,462"
"Jefferson","19,126"
"Jewell","3,077"
"Johnson","544,179"
"Kearny","3,977"
"Kingman","7,858"
"Kiowa","2,553"
"Labette","21,607"
"Lane","1,750"
"Leavenworth","76,227"
"Lincoln","3,241"
"Linn","9,656"
"Logan","2,756"
"Lyon","33,690"
"McPherson","29,180"
"Marion","12,660"
"Marshall","10,117"
"Meade","4,575"
"Miami","32,787"
"Mitchell","6,373"
"Montgomery","35,471"
"Morris","5,923"
"Morton","3,233"
"Nemaha","10,178"
"Neosho","16,512"
"Ness","3,107"
"Norton","5,671"
"Osage","16,295"
"Osborne","3,858"
"Ottawa","6,091"
"Pawnee","6,973"
"Phillips","5,642"
"Pottawatomie","21,604"
"Pratt","9,656"
"Rawlins","2,519"
"Reno","64,511"
"Republic","4,980"
"Rice","10,083"
"Riley","71,115"
"Rooks","5,181"
"Rush","3,307"
"Russell","6,970"
"Saline","55,606"
"Scott","4,936"
"Sedgwick","498,365"
"Seward","22,952"
"Shawnee","177,934"
"Sheridan","2,556"
"Sherman","6,010"
"Smith","3,853"
"Stafford","4,437"
"Stanton","2,235"
"Stevens","5,724"
"Sumner","24,132"
"Thomas","7,900"
"Trego","3,001"
"Wabaunsee","7,053"
"Wallace","1,485"
"Washington","5,799"
"Wichita","2,234"
"Wilson","9,409"
"Woodson","3,309"
"Wyandotte","157,505"
"Adair","18,656"
"Allen","19,956"
"Anderson","21,421"
"Ballard","8,249"
"Barren","42,173"
"Bath","11,591"
"Bell","28,691"
"Boone","118,811"
"Bourbon","19,985"
"Boyd","49,542"
"Boyle","28,432"
"Bracken","8,488"
"Breathitt","13,878"
"Breckinridge","20,059"
"Bullitt","74,319"
"Butler","12,690"
"Caldwell","12,984"
"Calloway","37,191"
"Campbell","90,336"
"Carlisle","5,104"
"Carroll","10,811"
"Carter","27,720"
"Casey","15,955"
"Christian","73,955"
"Clark","35,613"
"Clay","21,730"
"Clinton","10,272"
"Crittenden","9,315"
"Cumberland","6,856"
"Daviess","96,656"
"Edmonson","12,161"
"Elliott","7,852"
"Estill","14,672"
"Fayette","295,803"
"Fleming","14,348"
"Floyd","39,451"
"Franklin","49,285"
"Fulton","6,813"
"Gallatin","8,589"
"Garrard","16,912"
"Grant","24,662"
"Graves","37,121"
"Grayson","25,746"
"Green","11,258"
"Greenup","36,910"
"Hancock","8,565"
"Hardin","105,543"
"Harlan","29,278"
"Harrison","18,846"
"Hart","18,199"
"Henderson","46,250"
"Henry","15,416"
"Hickman","4,902"
"Hopkins","46,920"
"Jackson","13,494"
"Jefferson","741,096"
"Jessamine","48,586"
"Johnson","23,356"
"Kenton","159,720"
"Knott","16,346"
"Knox","31,883"
"Larue","14,193"
"Laurel","58,849"
"Lawrence","15,860"
"Lee","7,887"
"Leslie","11,310"
"Letcher","24,519"
"Lewis","13,870"
"Lincoln","24,742"
"Livingston","9,519"
"Logan","26,835"
"Lyon","8,314"
"McCracken","65,565"
"McCreary","18,306"
"McLean","9,531"
