County, Population
"Marquette","67,077"
"Mason","28,705"
"Mecosta","42,798"
"Menominee","24,029"
"Midland","83,629"
"Missaukee","14,849"
"Monroe","152,021"
"Montcalm","63,342"
"Montmorency","9,765"
"Muskegon","172,188"
"Newaygo","48,460"
"Oakland","1,202,362"
"Oceana","26,570"
"Ogemaw","21,699"
"Ontonagon","6,780"
"Osceola","23,528"
"Oscoda","8,640"
"Otsego","24,164"
"Ottawa","263,801"
"Presque","13,376"
"Roscommon","24,449"
"Saginaw","200,169"
"St","163,040"
"St","61,295"
"Sanilac","43,114"
"Schoolcraft","8,485"
"Shiawassee","70,648"
"Tuscola","55,729"
"Van","76,258"
"Washtenaw","344,791"
"Wayne","1,820,584"
"Wexford","32,735"
"Aitkin","16,202"
"Anoka","330,844"
"Becker","32,504"
"Beltrami","44,442"
"Benton","38,451"
"Big","5,269"
"Blue","64,013"
"Brown","25,893"
"Carlton","35,386"
"Carver","91,042"
"Cass","28,567"
"Chippewa","12,441"
"Chisago","53,887"
"Clay","58,999"
"Clearwater","8,695"
"Cook","5,176"
"Cottonwood","11,687"
"Crow","62,500"
"Dakota","398,552"
"Dodge","20,087"
"Douglas","36,009"
"Faribault","14,553"
"Fillmore","20,866"
"Freeborn","31,255"
"Goodhue","46,183"
"Grant","6,018"
"Hennepin","1,152,425"
"Houston","19,027"
"Hubbard","20,428"
"Isanti","37,816"
"Itasca","45,058"
"Jackson","10,266"
"Kanabec","16,239"
"Kandiyohi","42,239"
"Kittson","4,552"
"Koochiching","13,311"
"Lac","7,259"
"Lake","10,866"
"Lake","4,045"
"Le","27,703"
"Lincoln","5,896"
"Lyon","25,857"
"McLeod","36,651"
"Mahnomen","5,413"
"Marshall","9,439"
"Martin","20,840"
"Meeker","23,300"
"Mille","26,097"
"Morrison","33,198"
"Mower","39,163"
"Murray","8,725"
"Nicollet","32,727"
"Nobles","21,378"
"Norman","6,852"
"Olmsted","144,248"
"Otter","57,303"
"Pennington","13,930"
"Pine","29,750"
"Pipestone","9,596"
"Polk","31,600"
"Pope","10,995"
"Ramsey","508,640"
"Red","4,089"
"Redwood","16,059"
"Renville","15,730"
"Rice","64,142"
"Rock","9,687"
"Roseau","15,629"
"St","200,226"
"Scott","129,928"
"Sherburne","88,499"
"Sibley","15,226"
"Stearns","150,642"
"Steele","36,576"
"Stevens","9,726"
"Swift","9,783"
"Todd","24,895"
"Traverse","3,558"
"Wabasha","21,676"
"Wadena","13,843"
"Waseca","19,136"
"Washington","238,136"
"Watonwan","11,211"
"Wilkin","6,576"
"Winona","51,461"
"Wright","124,700"
"Yellow","10,438"
"Adams","32,297"
"Alcorn","37,057"
"Amite","13,131"
"Attala","19,564"
"Benton","8,729"
"Bolivar","34,145"
"Calhoun","14,962"
"Carroll","10,597"
"Chickasaw","17,392"
"Choctaw","8,547"
"Claiborne","9,604"
"Clarke","16,732"
"Clay","20,634"
"Coahoma","26,151"
"Copiah","29,449"
"Covington","19,568"
"DeSoto","161,252"
"Forrest","74,934"
"Franklin","8,118"
"George","22,578"
"Greene","14,400"
"Grenada","21,906"
"Hancock","43,929"
"Harrison","187,105"
"Hinds","245,285"
"Holmes","19,198"
"Humphreys","9,375"
"Issaquena","1,406"
"Itawamba","23,401"
"Jackson","139,668"
"Jasper","17,062"
"Jefferson","7,726"
"Jefferson","12,487"
"Jones","67,761"
"Kemper","10,456"
"Lafayette","47,351"
"Lamar","55,658"
"Lauderdale","80,261"
"Lawrence","12,929"
"Leake","23,805"
"Lee","82,910"
"Leflore","32,317"
"Lincoln","34,869"
"Lowndes","59,779"
"Madison","95,203"
"Marion","27,088"
"Marshall","37,144"
"Monroe","36,989"
"Montgomery","10,925"
"Neshoba","29,676"
"Newton","21,720"
"Noxubee","11,545"
"Oktibbeha","47,671"
"Panola","34,707"
"Pearl","55,834"
"Perry","12,250"
"Pike","40,404"
"Pontotoc","29,957"
"Prentiss","25,276"
"Quitman","8,223"
"Rankin","141,617"
"Scott","28,264"
"Sharkey","4,916"
"Simpson","27,503"
"Smith","16,491"
"Stone","17,786"
"Sunflower","29,450"
"Tallahatchie","15,378"
"Tate","28,886"
"Tippah","22,232"
"Tishomingo","19,593"
"Tunica","10,778"
"Union","27,134"
"Walthall","15,443"
"Warren","48,773"
"Washington","51,137"
"Wayne","20,747"
"Webster","10,253"
"Wilkinson","9,878"
"Winston","19,198"
"Yalobusha","12,678"
"Yazoo","28,065"
"Adair","25,607"
"Andrew","17,291"
"Atchison","5,685"
"Audrain","25,529"
"Barry","35,597"
"Barton","12,402"
"Bates","17,049"
"Benton","19,056"
"Bollinger","12,363"
"Boone","162,642"
"Buchanan","89,201"
"Butler","42,794"
"Caldwell","9,424"
"Callaway","44,332"
"Camden","44,002"
"Cape","75,674"
"Carroll","9,295"
"Carter","6,265"
"Cass","99,478"
"Cedar","13,982"
"Chariton","7,831"
"Christian","77,422"
"Clark","7,139"
"Clay","221,939"
"Clinton","20,743"
"Cole","75,990"
"Cooper","17,601"
"Crawford","24,696"
"Dade","7,883"
"Dallas","16,777"
"Daviess","8,433"
"DeKalb","12,892"
"Dent","15,657"
"Douglas","13,684"
"Dunklin","31,953"
"Franklin","101,492"
"Gasconade","15,222"
"Gentry","6,738"
"Greene","275,174"
"Grundy","10,261"
"Harrison","8,957"
"Henry","22,272"
"Hickory","9,627"
"Holt","4,912"
"Howard","10,144"
"Howell","40,400"
"Iron","10,630"
"Jackson","674,158"
"Jasper","117,404"
"Jefferson","218,733"
"Johnson","52,595"
"Knox","4,131"
"Laclede","35,571"
"Lafayette","33,381"
"Lawrence","38,634"
"Lewis","10,211"
"Lincoln","52,566"
"Linn","12,761"
"Livingston","15,195"
"McDonald","23,083"
"Macon","15,566"
"Madison","12,226"
"Maries","9,176"
"Marion","28,781"
"Mercer","3,785"
"Miller","24,748"
"Mississippi","14,358"
"Moniteau","15,607"
"Monroe","8,840"
"Montgomery","12,236"
"Morgan","20,565"
"New","18,956"
"Newton","58,114"
"Nodaway","23,370"
"Oregon","10,881"
"Osage","13,878"
"Ozark","9,723"
"Pemiscot","18,296"
"Perry","18,971"
"Pettis","42,201"
"Phelps","45,156"
"Pike","18,516"
"Platte","89,322"
"Polk","31,137"
"Pulaski","52,274"
"Putnam","4,979"
"Ralls","10,167"
"Randolph","25,414"
"Ray","23,494"
"Reynolds","6,696"
"Ripley","14,100"
"St","360,485"
"St","9,805"
"Ste","18,145"
"St","65,359"
"St","998,954"
"Saline","23,370"
"Schuyler","4,431"
"Scotland","4,843"
"Scott","39,191"
"Shannon","8,441"
"Shelby","6,373"
"Stoddard","29,968"
"Stone","32,202"
"Sullivan","6,714"
"Taney","51,675"
"Texas","26,008"
"Vernon","21,159"
"Warren","32,513"
"Washington","25,195"
"Wayne","13,521"
"Webster","36,202"
"Worth","2,171"
"Wright","18,815"
"St","319,294"
"Beaverhead","9,246"
"Big","12,865"
"Blaine","6,491"
"Broadwater","5,612"
"Carbon","10,078"
"Carter","1,160"
"Cascade","81,327"
"Chouteau","5,813"
"Custer","11,699"
"Daniels","1,751"
"Dawson","8,966"
"Deer","9,298"
"Fallon","2,890"
"Fergus","11,586"
"Flathead","90,928"
"Gallatin","89,513"
"Garfield","1,206"
"Glacier","13,399"
"Golden","884"
"Granite","3,079"
"Hill","16,096"
"Jefferson","11,406"
"Judith","2,072"
"Lake","28,746"
"Lewis","63,395"
"Liberty","2,339"
"Lincoln","19,687"
"McCone","1,734"
"Madison","7,691"
"Meagher","1,891"
"Mineral","4,223"
"Missoula","109,299"
"Musselshell","4,538"
"Park","15,636"
"Petroleum","494"
"Phillips","4,253"
"Pondera","6,153"
"Powder","1,743"
"Powell","7,027"
"Prairie","1,179"
"Ravalli","40,212"
"Richland","9,746"
"Roosevelt","10,425"
"Rosebud","9,233"
"Sanders","11,413"
"Sheridan","3,384"
"Silver","34,200"
"Stillwater","9,117"
"Sweet","3,651"
"Teton","6,073"
"Toole","5,324"
"Treasure","718"
"Valley","7,369"
"Wheatland","2,168"
"Wibaux","1,017"
"Yellowstone","147,972"
"Adams","31,364"
"Antelope","6,685"
"Arthur","460"
"Banner","690"
"Blaine","478"
"Boone","5,505"
"Box","11,308"
"Boyd","2,099"
"Brown","3,145"
"Buffalo","46,102"
"Burt","6,858"
"Butler","8,395"
"Cass","25,241"
"Cedar","8,852"
"Chase","3,966"
"Cherry","5,713"
"Cheyenne","9,998"
"Clay","6,542"
"Colfax","10,515"
"Cuming","9,139"
"Custer","10,939"
"Dakota","21,006"
"Dawes","9,182"
"Dawson","24,326"
"Deuel","1,941"
"Dixon","6,000"
"Dodge","36,691"
"Douglas","517,110"
"Dundy","2,008"
"Fillmore","5,890"
"Franklin","3,225"
"Frontier","2,756"
"Furnas","4,959"
"Gage","22,311"
"Garden","2,057"
"Garfield","2,049"
"Gosper","2,044"
"Grant","614"
"Greeley","2,538"
"Hall","58,607"
"Hamilton","9,124"
"Harlan","3,423"
"Hayes","967"
"Hitchcock","2,908"
"Holt","10,435"
"Hooker","736"
"Howard","6,274"
"Jefferson","7,547"
"Johnson","5,217"
"Kearney","6,489"
"Keith","8,368"
"Keya","824"
"Kimball","3,821"
"Knox","8,701"
"Lancaster","285,407"
"Lincoln","36,288"
"Logan","763"
"Loup","632"
"McPherson","539"
"Madison","34,876"
"Merrick","7,845"
"Morrill","5,042"
"Nance","3,735"
"Nemaha","7,248"
"Nuckolls","4,500"
"Otoe","15,740"
"Pawnee","2,773"
"Perkins","2,970"
"Phelps","9,188"
"Pierce","7,266"
"Platte","32,237"
"Polk","5,406"
"Red","11,055"
"Richardson","8,363"
"Rock","1,526"
"Saline","14,200"
"Sarpy","158,840"
"Saunders","20,780"
"Scotts","36,970"
"Seward","16,750"
"Sheridan","5,469"
"Sherman","3,152"
"Sioux","1,311"
"Stanton","6,129"
"Thayer","5,228"
"Thomas","647"
"Thurston","6,940"
"Valley","4,260"
"Washington","20,234"
"Wayne","9,595"
"Webster","3,812"
"Wheeler","818"
"York","13,665"
"Churchill","24,877"
"Clark","1,951,269"
"Douglas","46,997"
"Elko","48,818"
"Esmeralda","783"
"Eureka","1,987"
"Humboldt","16,528"
"Lander","5,775"
"Lincoln","5,345"
"Lyon","51,980"
"Mineral","4,772"
"Nye","43,946"
"Pershing","6,753"
"Storey","4,010"
"Washoe","421,407"
"White","10,030"
"Carson","55,274"
"Belknap","60,088"
"Carroll","47,818"
"Cheshire","77,117"
"Coos","33,055"
"Grafton","89,118"
"Hillsborough","400,721"
"Merrimack","146,445"
"Rockingham","295,223"
"Strafford","123,143"
"Sullivan","43,742"
"Atlantic","274,549"
"Bergen","905,116"
"Burlington","448,734"
"Camden","513,657"
"Cape","97,265"
"Cumberland","156,898"
"Essex","783,969"
"Gloucester","288,288"
"Hudson","634,266"
"Hunterdon","128,349"
"Mercer","366,513"
"Middlesex","809,858"
"Monmouth","630,380"
"Morris","492,276"
"Ocean","576,567"
"Passaic","501,226"
"Salem","66,083"
"Somerset","323,444"
"Sussex","149,265"
"Union","536,499"
"Warren","108,692"
"Bernalillo","662,564"
"Catron","3,725"
"Chaves","65,645"
"Cibola","27,213"
"Colfax","13,750"
"Curry","48,376"
"De","2,022"
"Doña","209,233"
"Eddy","53,829"
"Grant","29,514"
"Guadalupe","4,687"
"Harding","695"
"Hidalgo","4,894"
"Lea","64,727"
"Lincoln","20,497"
"Los","17,950"
"Luna","25,095"
"McKinley","71,492"
"Mora","4,881"
"Otero","63,797"
"Quay","9,041"
"Rio","40,246"
"Roosevelt","19,846"
"Sandoval","131,561"
"San","130,044"
"San","29,393"
"Santa","144,170"
"Sierra","11,988"
"Socorro","17,866"
"Taos","32,937"
"Torrance","16,383"
"Union","4,549"
"Valencia","76,569"
"Albany","304,204"
"Allegany","48,946"
"Bronx","1,385,108"
"Broome","200,600"
"Cattaraugus","80,317"
"Cayuga","80,026"
"Chautauqua","134,905"
"Chemung","88,830"
"Chenango","50,477"
"Clinton","82,128"
"Columbia","63,096"
"Cortland","49,336"
"Delaware","47,980"
"Dutchess","297,488"
"Erie","919,040"
"Essex","39,370"
"Franklin","51,599"
"Fulton","55,531"
"Genesee","60,079"
"Greene","49,221"
"Hamilton","4,836"
"Herkimer","64,519"
"Jefferson","116,229"
"Kings","2,504,700"
"Lewis","27,087"
"Livingston","65,393"
"Madison","73,442"
"Monroe","744,344"
"Montgomery","50,219"
"Nassau","1,339,532"
"New","1,585,873"
"Niagara","216,469"
"Oneida","234,878"
"Onondaga","467,026"
"Ontario","107,931"
"Orange","372,813"
"Orleans","42,883"
"Oswego","122,109"
"Otsego","62,259"
"Putnam","99,710"
"Queens","2,230,722"
"Rensselaer","159,429"
"Richmond","468,730"
"Rockland","311,687"
"St","111,944"
"Saratoga","219,607"
"Schenectady","154,727"
"Schoharie","32,749"
"Schuyler","18,343"
"Seneca","35,251"
"Steuben","98,990"
"Suffolk","1,493,350"
"Sullivan","77,547"
"Tioga","51,125"
"Tompkins","101,564"
"Ulster","182,493"
"Warren","65,707"
"Washington","63,216"
"Wayne","93,772"
"Westchester","949,113"
"Wyoming","42,155"
"Yates","25,348"
"Alamance","151,131"
"Alexander","37,198"
"Alleghany","11,155"
"Anson","26,948"
"Ashe","27,281"
"Avery","17,797"
"Beaufort","47,759"
"Bertie","21,282"
"Bladen","35,190"
"Brunswick","107,431"
"Buncombe","238,318"
"Burke","90,912"
"Cabarrus","178,011"
"Caldwell","83,029"
"Camden","9,980"
"Carteret","66,469"
"Caswell","23,719"
"Catawba","154,358"
"Chatham","63,505"
"Cherokee","27,444"
"Chowan","14,793"
"Clay","10,587"
"Cleveland","98,078"
"Columbus","58,098"
"Craven","103,505"
"Cumberland","319,431"
"Currituck","23,547"
"Dare","33,920"
"Davidson","162,878"
"Davie","41,240"
"Duplin","58,505"
"Durham","267,587"
"Edgecombe","56,552"
"Forsyth","350,670"
"Franklin","60,619"
"Gaston","206,086"
"Gates","12,197"
"Graham","8,861"
"Granville","59,916"
"Greene","21,362"
"Guilford","488,406"
"Halifax","54,691"
"Harnett","114,678"
"Haywood","59,036"
"Henderson","106,740"
"Hertford","24,669"
"Hoke","46,952"
"Hyde","5,810"
"Iredell","159,437"
"Jackson","40,271"
"Johnston","168,878"
"Jones","10,153"
"Lee","57,866"
"Lenoir","59,495"
"Lincoln","78,265"
"McDowell","44,996"
"Macon","33,922"
"Madison","20,764"
"Martin","24,505"
"Mecklenburg","919,628"
"Mitchell","15,579"
"Montgomery","27,798"
"Moore","88,247"
"Nash","95,840"
"New","202,667"
"Northampton","22,099"
"Onslow","177,772"
"Orange","133,801"
"Pamlico","13,144"
"Pasquotank","40,661"
"Pender","52,217"
"Perquimans","13,453"
"Person","39,464"
"Pitt","168,148"
"Polk","20,510"
"Randolph","141,752"
"Richmond","46,639"
"Robeson","134,168"
"Rockingham","93,643"
"Rowan","138,428"
"Rutherford","67,810"
"Sampson","63,431"
"Scotland","36,157"
"Stanly","60,585"
"Stokes","47,401"
"Surry","73,673"
"Swain","13,981"
"Transylvania","33,090"
"Tyrrell","4,407"
"Union","201,292"
"Vance","45,422"
"Wake","900,993"
"Warren","20,972"
"Washington","13,228"
"Watauga","51,079"
"Wayne","122,623"
"Wilkes","69,340"
"Wilson","81,234"
"Yadkin","38,406"
"Yancey","17,818"
"Adams","2,343"
"Barnes","11,066"
"Benson","6,660"
"Billings","783"
"Bottineau","6,429"
"Bowman","3,151"
"Burke","1,968"
"Burleigh","81,308"
"Cass","149,778"
"Cavalier","3,993"
"Dickey","5,289"
"Divide","2,071"
"Dunn","3,536"
"Eddy","2,385"
"Emmons","3,550"
"Foster","3,343"
"Golden","1,680"
"Grand","66,861"
"Grant","2,394"
"Griggs","2,420"
"Hettinger","2,477"
"Kidder","2,435"
"LaMoure","4,139"
"Logan","1,990"
"McHenry","5,395"
"McIntosh","2,809"
"McKenzie","6,360"
"McLean","8,962"
"Mercer","8,424"
"Morton","27,471"
"Mountrail","7,673"
"Nelson","3,126"
"Oliver","1,846"
"Pembina","7,413"
"Pierce","4,357"
"Ramsey","11,451"
"Ransom","5,457"
"Renville","2,470"
"Richland","16,321"
"Rolette","13,937"
"Sargent","3,829"
"Sheridan","1,321"
"Sioux","4,153"
"Slope","727"
"Stark","24,199"
"Steele","1,975"
"Stutsman","21,100"
"Towner","2,246"
"Traill","8,121"
"Walsh","11,119"
"Ward","61,675"
"Wells","4,207"
"Williams","22,398"
"Adams","28,550"
"Allen","106,331"
"Ashland","53,139"
"Ashtabula","101,497"
"Athens","64,757"
"Auglaize","45,949"
"Belmont","70,400"
"Brown","44,846"
"Butler","368,130"
"Carroll","28,836"
"Champaign","40,097"
"Clark","138,333"
"Clermont","197,363"
"Clinton","42,040"
"Columbiana","107,841"
"Coshocton","36,901"
"Crawford","43,784"
"Cuyahoga","1,280,122"
"Darke","52,959"
"Defiance","39,037"
"Delaware","174,214"
"Erie","77,079"
"Fairfield","146,156"
"Fayette","29,030"
"Franklin","1,163,414"
"Fulton","42,698"
"Gallia","30,934"
"Geauga","93,389"
"Greene","161,573"
"Guernsey","40,087"
"Hamilton","802,374"
"Hancock","74,782"
"Hardin","32,058"
"Harrison","15,864"
"Henry","28,215"
"Highland","43,589"
"Hocking","29,380"
"Holmes","42,366"
"Huron","59,626"
"Jackson","33,225"
"Jefferson","69,709"
"Knox","60,921"
"Lake","230,041"
"Lawrence","62,450"
"Licking","166,492"
"Logan","45,858"
"Lorain","301,356"
"Lucas","441,815"
"Madison","43,435"
"Mahoning","238,823"
"Marion","66,501"
"Medina","172,332"
"Meigs","23,770"
"Mercer","40,814"
"Miami","102,506"
"Monroe","14,642"
"Montgomery","535,153"
"Morgan","15,054"
"Morrow","34,827"
"Muskingum","86,074"
"Noble","14,645"
"Ottawa","41,428"
"Paulding","19,614"
"Perry","36,058"
"Pickaway","55,698"
"Pike","28,709"
"Portage","161,419"
"Preble","42,270"
"Putnam","34,499"
"Richland","124,475"
"Ross","78,064"
"Sandusky","60,944"
"Scioto","79,499"
"Seneca","56,745"
"Shelby","49,423"
"Stark","375,586"
"Summit","541,781"
"Trumbull","210,312"
"Tuscarawas","92,582"
"Union","52,300"
"Van","28,744"
"Vinton","13,435"
"Warren","212,693"
"Washington","61,778"
"Wayne","114,520"
"Williams","37,642"
"Wood","125,488"
"Wyandot","22,615"
"Adair","22,683"
"Alfalfa","5,642"
"Atoka","14,182"
"Beaver","5,636"
"Beckham","22,119"
"Blaine","11,943"
"Bryan","42,416"
"Caddo","29,600"
"Canadian","115,541"
"Carter","47,557"
"Cherokee","46,987"
"Choctaw","15,205"
"Cimarron","2,475"
"Cleveland","255,755"
"Coal","5,925"
"Comanche","124,098"
"Cotton","6,193"
"Craig","15,029"
"Creek","69,967"
"Custer","27,469"
"Delaware","41,487"
"Dewey","4,810"
"Ellis","4,151"
"Garfield","60,580"
"Garvin","27,576"
"Grady","52,431"
"Grant","4,527"
"Greer","6,239"
"Harmon","2,922"
"Harper","3,685"
"Haskell","12,769"
"Hughes","14,003"
"Jackson","26,446"
"Jefferson","6,472"
"Johnston","10,957"
"Kay","46,562"
"Kingfisher","15,034"
"Kiowa","9,446"
"Latimer","11,154"
"Le","50,384"
"Lincoln","34,273"
"Logan","41,848"
"Love","9,423"
"McClain","34,506"
"McCurtain","33,151"
"McIntosh","20,252"
"Major","7,527"
"Marshall","15,840"
"Mayes","41,259"
"Murray","13,488"
"Muskogee","70,990"
"Noble","11,561"
"Nowata","10,536"
"Okfuskee","12,191"
"Oklahoma","718,633"
"Okmulgee","40,069"
"Osage","47,472"
"Ottawa","31,848"
"Pawnee","16,577"
"Payne","77,350"
"Pittsburg","45,837"
"Pontotoc","37,492"
"Pottawatomie","69,442"
"Pushmataha","11,572"
"Roger","3,647"
"Rogers","86,905"
"Seminole","25,482"
"Sequoyah","42,391"
"Stephens","45,048"
"Texas","20,640"
"Tillman","7,992"
"Tulsa","603,403"
"Wagoner","73,085"
"Washington","50,976"
"Washita","11,629"
"Woods","8,878"
"Woodward","20,081"
"Baker","16,134"
"Benton","85,579"
"Clackamas","375,992"
"Clatsop","37,039"
"Columbia","49,351"
"Coos","63,043"
"Crook","20,978"
"Curry","22,364"
"Deschutes","157,733"
"Douglas","107,667"
"Gilliam","1,871"
"Grant","7,445"
"Harney","7,422"
"Hood","22,346"
"Jackson","203,206"
"Jefferson","21,720"
"Josephine","82,713"
"Klamath","66,380"
"Lake","7,895"
"Lane","351,715"
"Lincoln","46,034"
"Linn","116,672"
"Malheur","31,313"
"Marion","315,335"
"Morrow","11,173"
"Multnomah","735,334"
"Polk","75,403"
"Sherman","1,765"
"Tillamook","25,250"
"Umatilla","75,889"
"Union","25,748"
"Wallowa","7,008"
"Wasco","25,213"
"Washington","529,710"
"Wheeler","1,441"
"Yamhill","99,193"
"Adams","101,407"
"Allegheny","1,223,348"
"Armstrong","68,941"
"Beaver","170,539"
"Bedford","49,762"
"Berks","411,442"
"Blair","127,089"
"Bradford","62,622"
"Bucks","625,249"
"Butler","183,862"
"Cambria","143,679"
"Cameron","5,085"
"Carbon","65,249"
"Centre","153,990"
"Chester","498,886"
"Clarion","39,988"
"Clearfield","81,642"
"Clinton","39,238"
"Columbia","67,295"
"Crawford","88,765"
"Cumberland","235,406"
"Dauphin","268,100"
"Delaware","558,979"
"Elk","31,946"
"Erie","280,566"
"Fayette","136,606"
"Forest","7,716"
"Franklin","149,618"
"Fulton","14,845"
"Greene","38,686"
"Huntingdon","45,913"
"Indiana","88,880"
"Jefferson","45,200"
"Juniata","24,636"
"Lackawanna","214,437"
"Lancaster","519,445"
"Lawrence","91,108"
"Lebanon","133,568"
"Lehigh","349,497"
"Luzerne","320,918"
"Lycoming","116,111"
"McKean","43,450"
"Mercer","116,638"
"Mifflin","46,682"
"Monroe","169,842"
"Montgomery","799,874"
"Montour","18,267"
"Northampton","297,735"
"Northumberland","94,528"
"Perry","45,969"
"Philadelphia","1,526,006"
"Pike","57,369"
"Potter","17,457"
"Schuylkill","148,289"
"Snyder","39,702"
"Somerset","77,742"
"Sullivan","6,428"
"Susquehanna","43,356"
"Tioga","41,981"
"Union","44,947"
"Venango","54,984"
"Warren","41,815"
"Washington","207,820"
"Wayne","52,822"
"Westmoreland","365,169"
"Wyoming","28,276"
"York","434,972"
"Bristol","49,875"
"Kent","166,158"
"Newport","82,888"
"Providence","626,667"
"Washington","126,979"
"Abbeville","25,417"
"Aiken","160,099"
"Allendale","10,419"
"Anderson","187,126"
"Bamberg","15,987"
"Barnwell","22,621"
"Beaufort","162,233"
"Berkeley","177,843"
"Calhoun","15,175"
"Charleston","350,209"
"Cherokee","55,342"
"Chester","33,140"
"Chesterfield","46,734"
"Clarendon","34,971"
"Colleton","38,892"
"Darlington","68,681"
"Dillon","32,062"
"Dorchester","136,555"
"Edgefield","26,985"
"Fairfield","23,956"
"Florence","136,885"
"Georgetown","60,158"
"Greenville","451,225"
"Greenwood","69,661"
"Hampton","21,090"
"Horry","269,291"
"Jasper","24,777"
"Kershaw","61,697"
"Lancaster","76,652"
"Laurens","66,537"
"Lee","19,220"
"Lexington","262,391"
"McCormick","10,233"
"Marion","33,062"
"Marlboro","28,933"
"Newberry","37,508"
"Oconee","74,273"
"Orangeburg","92,501"
"Pickens","119,224"
"Richland","384,504"
"Saluda","19,875"
"Spartanburg","284,307"
"Sumter","107,456"
"Union","28,961"
"Williamsburg","34,423"
"York","226,073"
"Aurora","2,710"
"Beadle","17,398"
"Bennett","3,431"
"Bon","7,070"
"Brookings","31,965"
"Brown","36,531"
"Brule","5,255"
"Buffalo","1,912"
"Butte","10,110"
"Campbell","1,466"
"Charles","9,129"
"Clark","3,691"
"Clay","13,864"
"Codington","27,227"
"Corson","4,050"
"Custer","8,216"
"Davison","19,504"
"Day","5,710"
"Deuel","4,364"
"Dewey","5,301"
"Douglas","3,002"
"Edmunds","4,071"
"Fall","7,094"
"Faulk","2,364"
"Grant","7,356"
"Gregory","4,271"
"Haakon","1,937"
"Hamlin","5,903"
"Hand","3,431"
"Hanson","3,331"
"Harding","1,255"
"Hughes","17,022"
"Hutchinson","7,343"
"Hyde","1,420"
"Jackson","3,031"
"Jerauld","2,071"
"Jones","1,006"
"Kingsbury","5,148"
"Lake","11,200"
"Lawrence","24,097"
"Lincoln","44,828"
"Lyman","3,755"
"McCook","5,618"
"McPherson","2,459"
"Marshall","4,656"
"Meade","25,434"
"Mellette","2,048"
"Miner","2,389"
"Minnehaha","169,468"
"Moody","6,486"
"Oglala","13,586"
"Pennington","100,948"
"Perkins","2,982"
"Potter","2,329"
"Roberts","10,149"
"Sanborn","2,355"
"Spink","6,415"
"Stanley","2,966"
"Sully","1,373"
"Todd","9,612"
"Tripp","5,644"
"Turner","8,347"
"Union","14,399"
"Walworth","5,438"
"Yankton","22,438"
"Ziebach","2,801"
"Anderson","75,129"
"Bedford","45,058"
"Benton","16,489"
"Bledsoe","12,876"
"Blount","123,010"
"Bradley","98,963"
"Campbell","40,716"
"Cannon","13,801"
"Carroll","28,522"
"Carter","57,424"
"Cheatham","39,105"
"Chester","17,131"
"Claiborne","32,213"
"Clay","7,861"
"Cocke","35,662"
"Coffee","52,796"
"Crockett","14,586"
"Cumberland","56,053"
"Davidson","626,681"
"Decatur","11,757"
"DeKalb","18,723"
"Dickson","49,666"
"Dyer","38,335"
"Fayette","38,413"
"Fentress","17,959"
"Franklin","41,052"
"Gibson","49,683"
"Giles","29,485"
"Grainger","22,657"
"Greene","68,831"
"Grundy","13,703"
"Hamblen","62,544"
"Hamilton","336,463"
"Hancock","6,819"
"Hardeman","27,253"
"Hardin","26,026"
"Hawkins","56,833"
"Haywood","18,787"
"Henderson","27,769"
"Henry","32,330"
"Hickman","24,690"
"Houston","8,426"
"Humphreys","18,538"
"Jackson","11,638"
"Jefferson","51,407"
"Johnson","18,244"
"Knox","432,226"
"Lake","7,832"
"Lauderdale","27,815"
"Lawrence","41,869"
"Lewis","12,161"
"Lincoln","33,361"
"Loudon","48,556"
"McMinn","52,266"
"McNairy","26,075"
"Macon","22,248"
"Madison","98,294"
"Marion","28,237"
"Marshall","30,617"
"Maury","80,956"
"Meigs","11,753"
"Monroe","44,519"
"Montgomery","172,331"
"Moore","6,362"
"Morgan","21,987"
"Obion","31,807"
"Overton","22,083"
"Perry","7,915"
"Pickett","5,077"
"Polk","16,825"
"Putnam","72,321"
"Rhea","31,809"
"Roane","54,181"
"Robertson","66,283"
"Rutherford","262,604"
"Scott","22,228"
"Sequatchie","14,112"
"Sevier","89,889"
"Shelby","927,644"
"Smith","19,166"
"Stewart","13,324"
"Sullivan","156,823"
"Sumner","160,645"
"Tipton","61,081"
"Trousdale","7,870"
"Unicoi","18,313"
"Union","19,109"
"Van","5,548"
"Warren","39,839"
"Washington","122,979"
"Wayne","17,021"
"Weakley","35,021"
"White","25,841"
"Williamson","183,182"
"Wilson","113,993"
"Anderson","58,458"
"Andrews","14,786"
"Angelina","86,771"
"Aransas","23,158"
"Archer","9,054"
"Armstrong","1,901"
"Atascosa","44,911"
"Austin","28,417"
"Bailey","7,165"
"Bandera","20,485"
"Bastrop","74,171"
"Baylor","3,726"
"Bee","31,861"
"Bell","310,235"
"Bexar","1,714,773"
"Blanco","10,497"
"Borden","641"
"Bosque","18,212"
"Bowie","92,565"
"Brazoria","313,166"
"Brazos","194,851"
"Brewster","9,232"
"Briscoe","1,637"
"Brooks","7,223"
"Brown","38,106"
"Burleson","17,187"
"Burnet","42,750"
"Caldwell","38,066"
"Calhoun","21,381"
"Callahan","13,544"
"Cameron","406,220"
"Camp","12,401"
"Carson","6,182"
"Cass","30,464"
"Castro","8,062"
"Chambers","35,096"
"Cherokee","50,845"
"Childress","7,041"
"Clay","10,752"
"Cochran","3,127"
"Coke","3,320"
"Coleman","8,895"
